gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
 832,   0.6343, 0.565394
 833,   0.6343, 0.566718
 834,   0.6343, 0.571519
 835,   0.6343, 0.570385
 836,   0.6343,  0.56908
 837,   0.6358, 0.565995
 838,   0.6358,  0.56585
 839,   0.6358,  0.56622
 840,   0.6363, 0.564833
 841,   0.6363, 0.564311
 842,   0.6363, 0.568243
 843,   0.6363, 0.567389
 844,   0.6367, 0.569194
 845,   0.6367, 0.569848
 846,   0.6367, 0.571269
 847,   0.6367, 0.564862
 848,   0.6374,  0.56956
 849,   0.6374, 0.571461
 850,   0.6374, 0.571156
 851,   0.6384, 0.568648
 852,   0.6384, 0.571468
 853,   0.6387, 0.574418
 854,   0.6387, 0.575562
 855,   0.6387, 0.576164
 856,   0.6387, 0.570706
 857,   0.6389, 0.568739
 858,   0.6389, 0.570071
 859,   0.6399,  0.56965
 860,   0.6399, 0.569289
 861,   0.6405, 0.568412
 862,   0.6405, 0.568151
 863,   0.6405, 0.571769
 864,   0.6405, 0.572615
 865,   0.6417, 0.570961
 866,   0.6417, 0.571128
 867,   0.6417, 0.577693
 868,   0.6417, 0.575041
 869,   0.6417,  0.57325
 870,   0.6417, 0.570488
 871,   0.6419, 0.570274
 872,   0.6419, 0.573832
 873,   0.6419, 0.567209
 874,   0.6419, 0.573547
 875,   0.6429, 0.576458
 876,   0.6429, 0.576115
 877,   0.6429, 0.573498
 878,   0.6429, 0.573332
 879,   0.6429, 0.574605
 880,   0.6445, 0.569468
 881,   0.6445, 0.573555
 882,   0.6445, 0.573919
 883,   0.6457, 0.573601
 884,   0.6457, 0.571561
 885,   0.6457, 0.572387
 886,   0.6457, 0.573004
 887,   0.6457,  0.56752
 888,   0.6457, 0.570355
 889,   0.6457, 0.566584
 890,   0.6457, 0.565415
 891,   0.6457, 0.570511
 892,   0.6457, 0.577742
 893,   0.6457, 0.569745
 894,   0.6457, 0.572751
 895,   0.6457,   0.5759
 896,   0.6474, 0.576347
 897,   0.6474, 0.576011
 898,   0.6474, 0.582434
 899,   0.6474, 0.577459
 900,   0.6474, 0.578512
 901,   0.6474, 0.577943
 902,    0.648, 0.575764
