gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
 857,   0.6232, 0.426633
 858,   0.6232, 0.428587
 859,   0.6232, 0.428343
 860,   0.6232, 0.431737
 861,   0.6232, 0.435122
 862,   0.6232, 0.432306
 863,   0.6232, 0.441102
 864,   0.6232, 0.438141
 865,   0.6232, 0.441499
 866,   0.6232, 0.434135
 867,   0.6232, 0.436395
 868,   0.6232, 0.434552
 869,   0.6232,  0.43527
 870,   0.6232, 0.430696
 871,   0.6232, 0.438438
 872,   0.6232,  0.43199
 873,   0.6232, 0.430076
 874,   0.6232, 0.432909
 875,   0.6232, 0.434062
 876,   0.6232, 0.436295
 877,   0.6232, 0.433049
 878,   0.6232, 0.432065
 879,   0.6232, 0.434576
 880,   0.6232, 0.435802
 881,   0.6232, 0.432315
 882,   0.6232,  0.43378
 883,   0.6232, 0.434882
 884,   0.6232, 0.434325
 885,   0.6232, 0.439263
 886,   0.6232,  0.43527
 887,   0.6313, 0.438979
 888,   0.6313,  0.43854
 889,   0.6313, 0.435845
 890,   0.6313, 0.433861
 891,   0.6313, 0.436486
 892,   0.6313, 0.431403
 893,   0.6313, 0.434924
 894,   0.6313, 0.442462
 895,   0.6313, 0.441442
 896,   0.6313, 0.437631
 897,   0.6313,  0.43843
 898,   0.6313, 0.437546
 899,   0.6313, 0.438723
 900,   0.6313, 0.439963
 901,   0.6313,   0.4313
 902,   0.6313, 0.429023
 903,   0.6313, 0.432221
 904,   0.6313, 0.433476
 905,   0.6313, 0.429837
 906,   0.6313, 0.429485
 907,   0.6313, 0.430266
 908,   0.6313, 0.426162
 909,   0.6313, 0.422239
 910,   0.6313, 0.424264
 911,   0.6313, 0.426722
 912,   0.6313, 0.424881
 913,   0.6313, 0.428818
 914,   0.6313, 0.426347
 915,   0.6313, 0.437839
 916,   0.6313, 0.436884
 917,   0.6313, 0.432945
 918,   0.6313, 0.430214
 919,   0.6313, 0.433549
